service_id,date,exception_type
BFA21GEN-D078-Weekday-00_C31,20211231,2
BFA21GEN-D078-Weekday-00_C31,20220221,2
BFA21GEN-D078-Weekday-00_C31,20220316,2
BFA21GEN-D078-Weekday-00_C31,20220317,2
BFA21GEN-D078-Weekday-00_C31,20220318,2
BFA21GEN-D078-Weekday-00_C31,20220321,2
BFA21GEN-D078-Weekday-00_C31,20220322,2
BFA21GEN-D078-Weekday-00_C31,20220323,2
BFA21GEN-D078-Weekday-00_C31,20220324,2
BFA21GEN-D078-Weekday-00_C31,20220530,2
BFA21GEN-E041-Saturday-00_C51,20211224,1
BFA21GEN-E041-Saturday-00_C51,20211231,1
BFA21GEN-E041-Saturday-00_C51,20220221,1
BFA21GEN-E041-Saturday-00_C51,20220319,2
BFA21GEN-E046-Sunday-00_C28,20220320,2
BFA21GEN-E046-Sunday-00_C28,20220530,1
BFA21GEN-E073-Weekday-00_C18,20211224,2
BFA21GEN-E073-Weekday-00_C18,20211231,2
BFA21GEN-E073-Weekday-00_C18,20220221,2
BFA21GEN-E073-Weekday-00_C18,20220316,2
BFA21GEN-E073-Weekday-00_C18,20220317,2
BFA21GEN-E073-Weekday-00_C18,20220318,2
BFA21GEN-E073-Weekday-00_C18,20220321,2
BFA21GEN-E073-Weekday-00_C18,20220322,2
BFA21GEN-E073-Weekday-00_C18,20220323,2
BFA21GEN-E073-Weekday-00_C18,20220324,2
BFA21GEN-E073-Weekday-00_C18,20220530,2
BFA21GEN-F044-Saturday-00_C26,20211224,1
BFA21GEN-F044-Saturday-00_C26,20211231,1
BFA21GEN-F044-Saturday-00_C26,20220221,1
BFA21GEN-F044-Saturday-00_C26,20220319,2
BFA21GEN-F048-Sunday-00_C5,20220320,2
BFA21GEN-F048-Sunday-00_C5,20220530,1
BFA21GEN-F075-Weekday-00_C46,20211224,2
BFA21GEN-F075-Weekday-00_C46,20211231,2
BFA21GEN-F075-Weekday-00_C46,20220221,2
BFA21GEN-F075-Weekday-00_C46,20220316,2
BFA21GEN-F075-Weekday-00_C46,20220317,2
BFA21GEN-F075-Weekday-00_C46,20220318,2
BFA21GEN-F075-Weekday-00_C46,20220321,2
BFA21GEN-F075-Weekday-00_C46,20220322,2
BFA21GEN-F075-Weekday-00_C46,20220323,2
BFA21GEN-F075-Weekday-00_C46,20220324,2
BFA21GEN-F075-Weekday-00_C46,20220530,2
BFA21GEN-FS011-Saturday-00,20211224,1
BFA21GEN-FS011-Saturday-00,20211231,1
BFA21GEN-FS011-Saturday-00,20220221,1
BFA21GEN-FS011-Weekday-00,20211224,2
BFA21GEN-FS011-Weekday-00,20211231,2
BFA21GEN-FS011-Weekday-00,20220221,2
BFA21GEN-FS011-Weekday-00,20220530,2
BFA21GEN-FS012-Sunday-00,20220530,1
BFA21GEN-G036-Saturday-00_C25,20211224,1
BFA21GEN-G036-Saturday-00_C25,20211231,1
BFA21GEN-G036-Saturday-00_C25,20220221,1
BFA21GEN-G036-Saturday-00_C25,20220319,2
BFA21GEN-G037-Sunday-00_C35,20220320,2
BFA21GEN-G037-Sunday-00_C35,20220530,1
BFA21GEN-G052-Weekday-00_C36,20211224,2
BFA21GEN-G052-Weekday-00_C36,20211231,2
BFA21GEN-G052-Weekday-00_C36,20220221,2
BFA21GEN-G052-Weekday-00_C36,20220316,2
BFA21GEN-G052-Weekday-00_C36,20220317,2
BFA21GEN-G052-Weekday-00_C36,20220318,2
BFA21GEN-G052-Weekday-00_C36,20220321,2
BFA21GEN-G052-Weekday-00_C36,20220322,2
BFA21GEN-G052-Weekday-00_C36,20220323,2
BFA21GEN-G052-Weekday-00_C36,20220324,2
BFA21GEN-G052-Weekday-00_C36,20220530,2
BFA21GEN-H025-Sunday-00_C17,20220320,2
BFA21GEN-H025-Sunday-00_C17,20220530,1
BFA21GEN-H026-Saturday-00_C34,20211224,1
BFA21GEN-H026-Saturday-00_C34,20211231,1
BFA21GEN-H026-Saturday-00_C34,20220221,1
BFA21GEN-H026-Saturday-00_C34,20220319,2
BFA21GEN-H040-Weekday-00_C38,20211224,2
BFA21GEN-H040-Weekday-00_C38,20211231,2
BFA21GEN-H040-Weekday-00_C38,20220221,2
BFA21GEN-H040-Weekday-00_C38,20220316,2
BFA21GEN-H040-Weekday-00_C38,20220317,2
BFA21GEN-H040-Weekday-00_C38,20220318,2
BFA21GEN-H040-Weekday-00_C38,20220321,2
BFA21GEN-H040-Weekday-00_C38,20220322,2
BFA21GEN-H040-Weekday-00_C38,20220323,2
BFA21GEN-H040-Weekday-00_C38,20220324,2
BFA21GEN-H040-Weekday-00_C38,20220530,2
BFA21GEN-J032-Saturday-00_C27,20211224,1
BFA21GEN-J032-Saturday-00_C27,20211231,1
BFA21GEN-J032-Saturday-00_C27,20220221,1
BFA21GEN-J032-Saturday-00_C27,20220319,2
BFA21GEN-J032-Sunday-00_C15,20220320,2
BFA21GEN-J032-Sunday-00_C15,20220530,1
BFA21GEN-J052-Weekday-00_C47,20211224,2
BFA21GEN-J052-Weekday-00_C47,20211231,2
BFA21GEN-J052-Weekday-00_C47,20220221,2
BFA21GEN-J052-Weekday-00_C47,20220316,2
BFA21GEN-J052-Weekday-00_C47,20220317,2
BFA21GEN-J052-Weekday-00_C47,20220318,2
BFA21GEN-J052-Weekday-00_C47,20220321,2
BFA21GEN-J052-Weekday-00_C47,20220322,2
