,betweenness,lon,lat,num_departures,num_departures_scaled,accessibility_score,route_type,hex9
305889,1.3124538687041678,-74.009234,40.635699,280,1.036939313984169,2.3493931826883365,3,892a107738bffff
305891,1.3071246415181896,-74.007458,40.637406,280,1.036939313984169,2.3440639555023584,3,892a107739bffff
305892,1.3020806707081625,-74.006309,40.638509,280,1.036939313984169,2.3390199846923316,3,892a107739bffff
305895,1.2927848064501888,-74.003391,40.641315,280,1.036939313984169,2.3297241204343577,3,892a1077067ffff
305897,1.288488122471346,-74.001654,40.642984,280,1.036939313984169,2.3254274364555148,3,892a1077077ffff
305900,1.2806998295734449,-73.998151,40.646351,280,1.036939313984169,2.3176391435576136,3,892a1077007ffff
305906,1.1463445651895556,-74.004775,40.654583,280,1.036939313984169,2.1832838791737244,3,892a10770cfffff
305907,1.1399815796447461,-74.00613,40.655395,280,1.036939313984169,2.176920893628915,3,892a10770cbffff
305909,1.0001247542442435,-74.008306,40.653985,280,1.036939313984169,2.0370640682284122,3,892a1077053ffff
305922,1.1943427750519606,-73.998197,40.64646,280,1.036939313984169,2.23128208903613,3,892a1077007ffff
305925,1.2020146802982032,-74.001672,40.643115,280,1.036939313984169,2.2389539942823724,3,892a1077077ffff
305927,1.2060759821707643,-74.003426,40.641426,280,1.036939313984169,2.2430152961549332,3,892a1077067ffff
305929,1.210272368146628,-74.005166,40.639762,280,1.036939313984169,2.2472116821307973,3,892a1077067ffff
305932,1.21923945826256,-74.008676,40.636442,280,1.036939313984169,2.256178772246729,3,892a107738bffff
305933,1.2241292190337747,-74.009897,40.635279,280,1.036939313984169,2.2610685330179434,3,892a107738bffff
305934,1.2292392735042403,-74.010758,40.634447,280,1.036939313984169,2.266178587488409,3,892a1077313ffff
305935,1.2345258452193193,-74.012876,40.632405,280,1.036939313984169,2.2714651592034882,3,892a1077313ffff
305936,1.2399688973669687,-74.014054,40.631282,280,1.036939313984169,2.2769082113511376,3,892a1077303ffff
305937,1.2787946494476814,-74.015207,40.630164,561,1.0740105540897098,2.3528052035373914,3,892a107730bffff
305939,1.2227825283310836,-74.017516,40.630488,280,1.036939313984169,2.2597218423152525,3,892a107730bffff
305940,1.2281363255138138,-74.017999,40.629052,280,1.036939313984169,2.265075639497983,3,892a107730bffff
305951,1.8931732245760546,-74.023068,40.61419,597,1.0787598944591028,2.9719331190351577,3,892a107558fffff
305952,1.8899196297455434,-74.023953,40.611979,597,1.0787598944591028,2.968679524204646,3,892a1075517ffff
305988,1.025755089801866,-73.988358,40.576296,335,1.0441952506596306,2.0699503404614967,3,892a10743bbffff
305989,1.0321912668103577,-73.989967,40.576115,335,1.0441952506596306,2.076386517469988,3,892a1074317ffff
305990,1.0386264056420598,-73.992685,40.575821,335,1.0441952506596306,2.0828216563016904,3,892a1074317ffff
305991,1.045060506296972,-73.994719,40.575596,335,1.0441952506596306,2.089255756956603,3,892a1074303ffff
305992,1.0514935687750946,-73.996843,40.575357,335,1.0441952506596306,2.0956888194347254,3,892a1074303ffff
305993,1.057925593076427,-73.998956,40.575119,335,1.0441952506596306,2.1021208437360577,3,892a107430bffff
305994,1.06435657920097,-74.001634,40.574828,335,1.0441952506596306,2.1085518298606005,3,892a107430bffff
306003,1.0072445555028948,-73.994904,40.575456,335,1.0441952506596306,2.0514398061625254,3,892a1074303ffff
306004,1.0093005189334852,-73.992775,40.575676,335,1.0441952506596306,2.0534957695931157,3,892a1074317ffff
306005,1.0201982378285068,-73.990709,40.575906,339,1.0447229551451187,2.0649211929736255,3,892a1074317ffff
306006,1.025630637400295,-73.98861,40.576134,339,1.0447229551451187,2.0703535925454135,3,892a10743bbffff
306018,1.0386264056420598,-73.979533,40.665997,349,1.046042216358839,2.0846686220008985,3,892a10774abffff
306021,1.057925593076427,-73.986637,40.669432,349,1.046042216358839,2.1039678094352663,3,892a107741bffff
306022,1.06435657920097,-73.988461,40.670274,349,1.046042216358839,2.110398795559809,3,892a107741bffff
306023,1.070786527148723,-73.990912,40.671428,349,1.046042216358839,2.116828743507562,3,892a1077457ffff
306034,1.2365192701286805,-73.990228,40.686974,580,1.0765171503957784,2.313036420524459,3,892a10729bbffff
306053,1.2092603527261423,-73.991778,40.691085,243,1.0320580474934038,2.241318400219546,3,892a1072983ffff
306055,1.1964617092612362,-73.993217,40.688094,243,1.0320580474934038,2.2285197567546398,3,892a107298fffff
306060,1.1708644223314175,-73.996386,40.681442,243,1.0320580474934038,2.2029224698248213,3,892a1072933ffff
306061,1.1644651005989604,-73.997055,40.680045,243,1.0320580474934038,2.196523148092364,3,892a1072933ffff
306062,1.1580657788665032,-73.997876,40.678421,243,1.0320580474934038,2.190123826359907,3,892a1072923ffff
306063,1.1516664571340511,-73.998925,40.676204,243,1.0320580474934038,2.183724504627455,3,892a107292fffff
306064,1.145463869903267,-73.999538,40.674938,592,1.0781002638522428,2.22356413375551,3,892a107292fffff
306069,1.0332853055306692,-73.985988,40.668915,359,1.0473614775725593,2.0806467831032283,3,892a1077403ffff
306070,1.027342366315021,-73.983627,40.667771,359,1.0473614775725593,2.0747038438875802,3,892a1077403ffff
306072,1.0180078716127952,-73.978902,40.665492,359,1.0473614775725593,2.0653693491853544,3,892a10774abffff
306075,1.01129248483794,-73.979653,40.661372,359,1.0473614775725593,2.0586539624104994,3,892a1077433ffff
306086,1.0135542113604865,-74.009604,40.675026,602,1.079419525065963,2.0929737364264493,3,892a107769bffff
306087,1.0199553499023235,-74.007354,40.674455,602,1.079419525065963,2.0993748749682863,3,892a107769bffff
306089,1.0263775115241538,-74.00407,40.673538,602,1.079419525065963,2.1057970365901166,3,892a1077697ffff
306107,1.0,-73.999788,40.674342,243,1.0320580474934038,2.032058047493404,3,892a107292fffff
306108,1.0427629576940272,-74.000598,40.672692,592,1.0781002638522428,2.12086322154627,3,892a1077697ffff
306109,1.0364298024289822,-74.002765,40.673275,592,1.0781002638522428,2.114530066281225,3,892a1077697ffff
306110,1.0302538372305705,-74.004756,40.673821,592,1.0781002638522428,2.1083541010828135,3,892a1077683ffff
306111,1.0242303937408226,-74.00628,40.674226,592,1.0781002638522428,2.1023306575930656,3,892a1077683ffff
306112,1.0187307286297416,-74.008022,40.674751,592,1.0781002638522428,2.0968309924819843,3,892a107769bffff
306113,1.0141963332256525,-74.009397,40.675131,592,1.0781002638522428,2.0922965970778953,3,892a107769bffff
306114,1.0111569122630724,-74.010824,40.674574,592,1.0781002638522428,2.089257176115315,3,892a10776d7ffff
306115,1.0160421595412603,-74.011781,40.673779,592,1.0781002638522428,2.094142423393503,3,892a107768bffff
306116,1.02066626911409,-74.013151,40.674669,349,1.046042216358839,2.0667084854729287,3,892a10776d7ffff
306144,1.222951535660258,-73.920407,40.611007,1189,1.1568601583113456,2.379811693971604,3,892a107617bffff
306153,1.6612588776404489,-73.917245,40.619865,356,1.0469656992084433,2.708224576848892,3,892a1076153ffff
306154,1.6008349456276878,-73.917471,40.622262,356,1.0469656992084433,2.6478006448361313,3,892a1076027ffff
306155,1.6042296367757802,-73.91774,40.624604,356,1.0469656992084433,2.6511953359842235,3,892a1076037ffff
306156,1.6079121097123958,-73.917975,40.62701,356,1.0469656992084433,2.654877808920839,3,892a1076033ffff
306157,1.6119577231014397,-73.918284,40.629197,356,1.0469656992084433,2.6589234223098828,3,892a10760abffff
306158,1.9775176680185007,-73.918594,40.632769,1266,1.167018469656992,3.144536137675493,3,892a1076017ffff
306159,1.2694113794419692,-73.918768,40.634391,356,1.0469656992084433,2.3163770786504125,3,892a107608fffff
306160,1.2634007510996248,-73.919014,40.636277,356,1.0469656992084433,2.3103664503080683,3,892a107608fffff
306161,1.2575113818063313,-73.919149,40.637906,356,1.0469656992084433,2.3044770810147748,3,892a107608bffff
306162,1.2517454470143623,-73.919472,40.640704,356,1.0469656992084433,2.2987111462228054,3,892a107609bffff
306165,1.2362028781170824,-73.920168,40.64748,356,1.0469656992084433,2.283168577325526,3,892a107647bffff
306167,1.2269587360405754,-73.920557,40.651264,356,1.0469656992084433,2.2739244352490187,3,892a107644fffff
306168,1.2226866913224541,-73.920772,40.653133,356,1.0469656992084433,2.269652390530897,3,892a1076443ffff
306172,1.0485766571042503,-73.925025,40.657878,356,1.0469656992084433,2.0955423563126936,3,892a100d92fffff
306173,1.0456296303412682,-73.923614,40.658803,356,1.0469656992084433,2.0925953295497113,3,892a100d92fffff
306174,1.0433540505051808,-73.922135,40.659758,356,1.0469656992084433,2.090319749713624,3,892a100d927ffff
306175,1.0426617328308438,-73.920522,40.660779,356,1.0469656992084433,2.089627432039287,3,892a100d927ffff
306176,1.0447865186377057,-73.920433,40.661489,356,1.0469656992084433,2.0917522178461487,3,892a100d923ffff
306177,1.0492182760290631,-73.921461,40.662962,356,1.0469656992084433,2.0961839752375067,3,892a100d923ffff
306180,1.2348793590596459,-73.923456,40.664652,355,1.0468337730870712,2.281713132146717,3,892a100d93bffff
306181,1.237691148489104,-73.921716,40.662431,355,1.0468337730870712,2.284524921576175,3,892a100d923ffff
306182,1.2409883942974904,-73.92126,40.660455,355,1.0468337730870712,2.2878221673845616,3,892a100d927ffff
306183,1.244733399338025,-73.922873,40.659415,355,1.0468337730870712,2.291567172425096,3,892a100d92fffff
306184,1.2491540121189433,-73.925026,40.65802,355,1.0468337730870712,2.295987785206014,3,892a100d92fffff
306189,1.6034090535471868,-73.920823,40.652592,355,1.0468337730870712,2.650242826634258,3,892a1076443ffff
306190,1.6063512276186906,-73.920625,40.650327,355,1.0468337730870712,2.653185000705762,3,892a107644fffff
306191,1.6095569173258482,-73.920421,40.648436,355,1.0468337730870712,2.6563906904129193,3,892a107647bffff
306192,1.6130125369718291,-73.920253,40.647143,355,1.0468337730870712,2.6598463100589003,3,892a107647bffff
306193,1.6169542767200198,-73.920045,40.645217,355,1.0468337730870712,2.663788049807091,3,892a107646bffff
306195,1.6260556265774435,-73.919499,40.639764,355,1.0468337730870712,2.6728893996645144,3,892a107608bffff
306198,1.3208617010986483,-73.918616,40.631281,355,1.0468337730870712,2.3676954741857195,3,892a10760abffff
306199,1.3155675197948864,-73.918337,40.628416,355,1.0468337730870712,2.3624012928819575,3,892a1076033ffff
306200,1.3104631431627207,-73.918059,40.626078,355,1.0468337730870712,2.357296916249792,3,892a1076037ffff
306201,1.3055850800072875,-73.917796,40.623779,355,1.0468337730870712,2.352418853094359,3,892a1076037ffff
306202,1.3011215645518033,-73.91761,40.621613,355,1.0468337730870712,2.3479553376388744,3,892a1076027ffff
306203,1.2971087764334472,-73.917339,40.61922,355,1.0468337730870712,2.343942549520518,3,892a1076153ffff
306204,1.2933109304601742,-73.916647,40.617813,355,1.0468337730870712,2.3401447035472454,3,892a1076143ffff
306205,1.2896751327604665,-73.915464,40.616783,355,1.0468337730870712,2.3365089058475377,3,892a1076157ffff
306206,1.2862071130814678,-73.913979,40.615413,355,1.0468337730870712,2.333040886168539,3,892a107610bffff
306209,1.3071348538977445,-73.920646,40.611147,846,1.1116094986807388,2.418744352578483,3,892a10763b7ffff
306215,1.0913921645968783,-73.882331,40.652039,371,1.0489445910290238,2.140336755625902,3,892a100cb0bffff
306216,1.0856430458258655,-73.881507,40.653196,371,1.0489445910290238,2.1345876368548895,3,892a100cb03ffff
306217,1.080164998825722,-73.882225,40.654907,371,1.0489445910290238,2.129109589854746,3,892a100cb1bffff
306218,1.0753039977016847,-73.882654,40.656615,371,1.0489445910290238,2.1242485887307083,3,892a100cbcfffff
306219,1.071336071445349,-73.883609,40.657762,371,1.0489445910290238,2.120280662474373,3,892a100cbcfffff
306220,1.0681405674682949,-73.884704,40.659375,371,1.0489445910290238,2.1170851584973187,3,892a100cbcbffff
306221,1.065793348879607,-73.885952,40.661021,371,1.0489445910290238,2.114737939908631,3,892a100cbcbffff
306222,1.064141060856414,-73.886912,40.662323,371,1.0489445910290238,2.113085651885438,3,892a100ca37ffff
306255,1.1436166345331595,-73.886714,40.661699,365,1.0481530343007917,2.191769668833951,3,892a100ca37ffff
306257,1.1519742728520255,-73.884442,40.658719,365,1.0481530343007917,2.200127307152817,3,892a100cbcfffff
